Column,Value,Count
Unnamed: 0,1676,1
Unnamed: 0,1675,1
Unnamed: 0,1674,1
Unnamed: 0,1673,1
Unnamed: 0,1672,1
Unnamed: 0,1670,1
Unnamed: 0,1667,1
Unnamed: 0,1666,1
Unnamed: 0,1665,1
Unnamed: 0,1664,1
Unnamed: 0,1663,1
Unnamed: 0,1662,1
Unnamed: 0,1659,1
Unnamed: 0,1764,1
Unnamed: 0,1770,1
Unnamed: 0,1925,1
Unnamed: 0,1878,1
Unnamed: 0,1896,1
Unnamed: 0,1895,1
Unnamed: 0,1894,1
Unnamed: 0,1891,1
Unnamed: 0,1889,1
Unnamed: 0,1888,1
Unnamed: 0,1884,1
Unnamed: 0,1877,1
Unnamed: 0,1771,1
Unnamed: 0,1874,1
Unnamed: 0,1873,1
Unnamed: 0,1872,1
Unnamed: 0,1871,1
Unnamed: 0,1864,1
Unnamed: 0,1861,1
Unnamed: 0,1858,1
Unnamed: 0,1897,1
Unnamed: 0,1899,1
Unnamed: 0,1902,1
Unnamed: 0,1903,1
Unnamed: 0,1924,1
Unnamed: 0,1923,1
Unnamed: 0,1922,1
Unnamed: 0,1921,1
Unnamed: 0,1918,1
Unnamed: 0,1915,1
Unnamed: 0,1914,1
Unnamed: 0,1913,1
Unnamed: 0,1911,1
Unnamed: 0,1909,1
Unnamed: 0,1908,1
Unnamed: 0,1907,1
Unnamed: 0,1906,1
Unnamed: 0,1905,1
Unnamed: 0,1904,1
Unnamed: 0,1857,1
Unnamed: 0,1856,1
Unnamed: 0,1855,1
Unnamed: 0,1822,1
Unnamed: 0,1819,1
Unnamed: 0,1811,1
Unnamed: 0,1805,1
Unnamed: 0,1804,1
Unnamed: 0,1803,1
Unnamed: 0,1800,1
Unnamed: 0,1796,1
Unnamed: 0,1793,1
Unnamed: 0,1792,1
Unnamed: 0,1789,1
Unnamed: 0,1788,1
Unnamed: 0,1777,1
Unnamed: 0,1775,1
Unnamed: 0,1774,1
Unnamed: 0,1772,1
Unnamed: 0,1820,1
Unnamed: 0,1823,1
Unnamed: 0,1854,1
Unnamed: 0,1824,1
Unnamed: 0,1851,1
Unnamed: 0,1850,1
Unnamed: 0,1849,1
Unnamed: 0,1847,1
Unnamed: 0,1841,1
Unnamed: 0,1839,1
Unnamed: 0,1838,1
Unnamed: 0,1837,1
Unnamed: 0,1832,1
Unnamed: 0,1831,1
Unnamed: 0,1830,1
Unnamed: 0,1828,1
Unnamed: 0,1827,1
Unnamed: 0,1826,1
Unnamed: 0,1825,1
Unnamed: 0,1090,1
Unnamed: 0,1079,1
Unnamed: 0,3,1
Unnamed: 0,376,1
Unnamed: 0,383,1
Unnamed: 0,382,1
Unnamed: 0,381,1
Unnamed: 0,380,1
Unnamed: 0,379,1
Unnamed: 0,378,1
Unnamed: 0,377,1
Unnamed: 0,375,1
Unnamed: 0,357,1
Unnamed: 0,373,1
Unnamed: 0,372,1
Unnamed: 0,371,1
Unnamed: 0,370,1
Unnamed: 0,369,1
Unnamed: 0,367,1
Unnamed: 0,366,1
Unnamed: 0,384,1
Unnamed: 0,385,1
Unnamed: 0,386,1
Unnamed: 0,387,1
Unnamed: 0,414,1
Unnamed: 0,413,1
Unnamed: 0,411,1
Unnamed: 0,409,1
Unnamed: 0,408,1
Unnamed: 0,401,1
Unnamed: 0,400,1
Unnamed: 0,396,1
Unnamed: 0,395,1
Unnamed: 0,394,1
Unnamed: 0,393,1
Unnamed: 0,392,1
Unnamed: 0,391,1
Unnamed: 0,389,1
Unnamed: 0,388,1
Unnamed: 0,358,1
Unnamed: 0,356,1
Unnamed: 0,559,1
Unnamed: 0,292,1
Unnamed: 0,305,1
Unnamed: 0,304,1
Unnamed: 0,301,1
Unnamed: 0,299,1
Unnamed: 0,298,1
Unnamed: 0,297,1
Unnamed: 0,295,1
Unnamed: 0,291,1
Unnamed: 0,354,1
Unnamed: 0,290,1
Unnamed: 0,288,1
Unnamed: 0,279,1
Unnamed: 0,278,1
Unnamed: 0,277,1
Unnamed: 0,272,1
Unnamed: 0,271,1
Unnamed: 0,306,1
Unnamed: 0,310,1
Unnamed: 0,314,1
Unnamed: 0,315,1
Unnamed: 0,353,1
Unnamed: 0,352,1
Unnamed: 0,348,1
Unnamed: 0,343,1
Unnamed: 0,340,1
Unnamed: 0,337,1
Unnamed: 0,333,1
Unnamed: 0,332,1
Unnamed: 0,331,1
Unnamed: 0,329,1
Unnamed: 0,328,1
Unnamed: 0,327,1
Unnamed: 0,324,1
Unnamed: 0,323,1
Unnamed: 0,317,1
Unnamed: 0,415,1
Unnamed: 0,416,1
Unnamed: 0,417,1
Unnamed: 0,513,1
Unnamed: 0,527,1
Unnamed: 0,526,1
Unnamed: 0,524,1
Unnamed: 0,521,1
Unnamed: 0,518,1
Unnamed: 0,517,1
Unnamed: 0,514,1
Unnamed: 0,512,1
Unnamed: 0,421,1
Unnamed: 0,510,1
Unnamed: 0,509,1
Unnamed: 0,508,1
